Team Name,Composite Score
KC,45.69580660183917
VIT,44.43440736478711
G2,39.69591194295137
BDS,37.720903277664945
GENG,35.05421191740185
SR,29.88953327809997
OXY,29.560039308666624
MOIST,29.40127077223851
COL,29.38735321762845
FALC,29.211595363816187
GENT,28.575218874071055
MGNF,28.443188776930356
SSG,28.34820032318599
FURIA,28.157682288415607
M80,26.573854213779587
OG,26.252251536342445
NRG,26.12710934911513
SUH,25.121492457615805
WR,24.712296217714176
KRU,24.621502260647166
T3,24.266815676520835
TOPC,23.75803615230764
SOL,23.721663033257233
TSM,23.358716362592332
BOYS,23.31065668839059
SUKH,23.188660255558936
LG,23.107747515642252
POAB,22.840008955196325
100%,22.807636437187405
MONK,22.60807374443738
CLV,21.244514106583072
DIG,21.037432193974247
CLNT,20.982949847048822
XD,20.323520988462487
FAZE?,19.978519955654097
BOUL,17.900094696969695
PET,9.052633305025651
